DATETIME,YEAR,MONTH,INDEX_NO,STN_NAME,DD,T,GGGG,DDD,FF,FMFM,VV,WW,N,CL1,CL2,CL3,CL4,CL5,CL6,TTT,TWTW,TDTD,RH,QFE,QFF,QNH,TXTX,RRR,TOT_RRR
2021-06-02 03:30:00,2021,Jun,1,SNG,2,1,330,999.0,2.0,,60.0,3,6.0,3625.0,5360.0,,,,,11.3,11.1,11.0,98.0,832.6,1486.0,1017.0,,,
2021-06-02 04:00:00,2021,Jun,17,HND,2,1,400,999.0,2.0,,30.0,10,0.0,,,,,,,24.8,23.0,22.2,84.0,979.4,1003.3,1004.7,,,
2021-06-02 04:00:00,2021,Jun,10,CDH,2,1,400,999.0,2.0,,60.0,2,3.0,1630.0,3360.0,,,,,24.1,23.5,23.3,95.0,968.7,1003.8,1005.6,,,
2021-06-02 04:00:00,2021,Jun,1,SNG,2,1,400,999.0,2.0,,60.0,2,6.0,3625.0,5360.0,,,,,11.3,11.2,11.0,98.0,832.5,1485.0,1016.9,,,
2021-06-02 04:00:00,2021,Jun,56,GKP,2,1,400,999.0,1.0,,50.0,10,4.0,4075.0,,,,,,22.6,22.6,22.6,100.0,994.4,1003.3,1003.7,,,
2021-06-02 04:30:00,2021,Jun,1,SNG,2,1,430,999.0,2.0,,60.0,1,5.0,2625.0,5360.0,,,,,10.9,10.8,10.7,99.0,832.7,1488.0,1017.2,,,
2021-06-02 04:30:00,2021,Jun,17,HND,2,1,430,999.0,1.0,,20.0,10,0.0,,,,,,,24.8,23.0,22.2,84.0,979.4,1003.3,1004.7,,,
2021-06-02 05:00:00,2021,Jun,56,GKP,2,1,500,999.0,1.0,,40.0,10,4.0,4075.0,,,,,,22.8,22.8,22.8,100.0,994.6,1003.5,1003.9,,,
2021-06-02 05:00:00,2021,Jun,17,HND,2,1,500,999.0,2.0,,15.0,10,0.0,,,,,,,25.0,23.2,22.3,85.0,979.5,1003.4,1004.8,,,
2021-06-02 05:00:00,2021,Jun,10,CDH,2,1,500,999.0,1.0,,60.0,2,3.0,1630.0,3360.0,,,,,23.8,23.2,22.9,95.0,968.7,1003.9,1005.6,,,
